stateid,state,item,name,enLabel,gender,dob,dobPrecision,source,psid
Q173,Alabama,Q6380211,Kay Ivey,Kay Ivey,female,1944-10-15T00:00:00Z,11,https://www.nga.org/governors/,Q6380211-df166c65-4756-8f70-bb7a-fe3a4a02b2d6
Q797,Alaska,Q16209663,Mike J. Dunleavy,Mike J. Dunleavy,male,1961-05-05T00:00:00Z,11,,Q16209663-c79d04b4-4e6c-fed1-720e-123f4472136c
Q16641,American Samoa,Q6521013,Lemanu Peleti Mauga,Lemanu Peleti Mauga,male,1949-01-01T00:00:00Z,11,,Q6521013-f4f244ae-4111-0aa2-556e-2a899a6c7612
Q816,Arizona,Q5300433,Doug Ducey,Doug Ducey,male,1964-04-09T00:00:00Z,11,,Q5300433-98f57c95-4ddd-2dcf-3050-52c7e259dabc
Q1612,Arkansas,Q720121,Asa Hutchinson,Asa Hutchinson,male,1950-12-03T00:00:00Z,11,,Q720121-6eaf5edc-41a0-53af-8379-7cde02d70488
Q99,California,Q461391,Gavin Newsom,Gavin Newsom,male,1967-10-10T00:00:00Z,11,,Q461391-3245ec71-45c9-f21b-2047-b879d951687b
Q1261,Colorado,Q935734,Jared Polis,Jared Polis,male,1975-05-12T00:00:00Z,11,,Q935734-b9835516-4721-8ec3-343d-cb4992d64cb8
Q779,Connecticut,Q1973878,Ned Lamont,Ned Lamont,male,1954-01-03T00:00:00Z,11,,Q1973878-137cec84-2d49-4b5e-b1eb-c975272fc451
Q1393,Delaware,Q505302,John Carney,John Carney,male,1956-05-20T00:00:00Z,11,,Q505302-ced9c187-479a-dfc8-8d4c-6412f8643eb0
Q812,Florida,Q3105215,Ron DeSantis,Ron DeSantis,male,1978-09-14T00:00:00Z,11,,Q3105215-988eb43f-42cf-5ef5-5dd8-b53fbb8a50ad
Q1428,Georgia,Q4964973,Brian Kemp,Brian Kemp,male,1963-11-02T00:00:00Z,11,,Q4964973-2026b223-e662-4817-9045-c7397d5e8a94
Q16635,Guam,Q21066675,Lou Leon Guerrero,Lou Leon Guerrero,female,1950-11-08T00:00:00Z,11,,Q21066675-5e2021d3-43de-958b-0ce2-102839c0ec36
Q782,Hawaii,Q16189318,David Ige,David Ige,male,1957-01-15T00:00:00Z,11,,Q16189318-2158EFFC-F5D9-4DCC-8C81-15F1F923061D
Q1221,Idaho,Q4954097,Brad Little,Brad Little,male,1954-02-15T00:00:00Z,11,,Q4954097-c8f8830f-49e9-9120-78e2-d649abc3b198
Q1204,Illinois,Q6103950,J.B. Pritzker,J.B. Pritzker,male,1965-01-19T00:00:00Z,11,,Q6103950-2e2c7772-bf91-44d7-931b-cb027382a274
Q1415,Indiana,Q23016975,Eric Holcomb,Eric Holcomb,male,1968-05-02T00:00:00Z,11,,Q23016975-40e67bbc-41a6-e20d-54e4-38bc0a7fefec
Q1546,Iowa,Q6409269,Kim Reynolds,Kim Reynolds,female,1959-08-04T00:00:00Z,11,,Q6409269-eed12e5c-4e1b-6e3c-3184-826a7ded2774
Q1558,Kansas,Q6499080,Laura Kelly,Laura Kelly,female,1950-01-24T00:00:00Z,11,,Q6499080-33db0ea3-4ef2-bc09-de5a-3aef3aac8167
Q1603,Kentucky,Q21572825,Andy Beshear,Andy Beshear,male,1977-11-29T00:00:00Z,11,,Q21572825-47131d16-4899-a8fa-7851-9a8422b182e9
Q1588,Louisiana,Q6221385,John Bel Edwards,John Bel Edwards,male,1966-09-16T00:00:00Z,11,,Q6221385-f56c0bc6-4769-cefb-b27a-455d6d104ff5
Q724,Maine,Q6153618,Janet T. Mills,Janet T. Mills,female,1947-12-30T00:00:00Z,11,,Q6153618-f0f14fe7-4dd6-2d2c-f20a-af0d0a3144f9
Q1391,Maryland,Q16731303,Larry Hogan,Larry Hogan,male,1956-05-25T00:00:00Z,11,,Q16731303-3A1D0ED4-77B7-4C72-8EA8-B355283D5069
Q771,Massachusetts,Q5076629,Charlie Baker,Charlie Baker,male,1956-11-13T00:00:00Z,11,,Q5076629-9E3F016C-FB0E-434C-A99B-482FC1B4BADD
Q1166,Michigan,Q5607720,Gretchen Whitmer,Gretchen Whitmer,female,1971-08-23T00:00:00Z,11,,Q5607720-9a37de9e-41e2-9f35-80fd-e03d62a9595f
Q1527,Minnesota,Q2434360,Tim Walz,Tim Walz,male,1964-04-06T00:00:00Z,11,,Q2434360-cc0ca708-4183-b9fb-5be6-a8b16f83bbec
Q1494,Mississippi,Q7687964,Tate Reeves,Tate Reeves,male,1974-06-05T00:00:00Z,11,,Q7687964-34968edb-489a-6bc3-7fcc-9379aa03e396
Q1581,Missouri,Q6848323,Mike Parson,Mike Parson,male,1955-09-17T00:00:00Z,11,,Q6848323-d61e849a-4433-9dbe-5d65-8f432a5ea180
Q1212,Montana,Q5605607,Greg Gianforte,Greg Gianforte,male,1961-04-17T00:00:00Z,11,,Q5605607-d94c4fb9-47b3-ea1e-f7df-85dd7398155d
Q1553,Nebraska,Q6106781,Pete Ricketts,Pete Ricketts,male,1964-08-19T00:00:00Z,11,,Q6106781-5575F356-6349-47E8-923E-D4071E522FDF
